bps_2
0
6
4
4
0
0
24
13
0
0
2
6
0
8
0
0
0
4
13
0
0
2
0
6
20
23
6
29
0
5
20
0
3
0
0
0
25
0
4
0
13
14
9
0
0
0
6
25
3
0
26
0
0
7
0
0
0
0
0
0
4
3
0
0
12
12
3
3
0
0
24
4
0
30
26
25
5
0
0
0
14
0
2
0
26
0
16
76
0
0
0
18
19
0
0
25
22
0
3
26
37
0
0
4
40
15
4
0
1
48
23
36
0
0
2
0
0
20
0
27
4
24
0
0
16
0
0
0
37
23
0
69
3
0
3
0
12
4
12
2
0
7
0
23
2
0
10
0
40
25
0
2
0
17
0
0
0
18
0
0
18
0
0
3
28
0
0
0
0
0
10
0
40
35
17
15
0
0
21
0
0
41
28
8
0
11
3
25
35
0
4
0
3
16
0
0
0
20
6
0
11
13
70
0
0
7
0
3
20
26
0
0
0
0
0
21
0
0
0
11
4
9
0
0
7
3
0
28
0
0
11
2
24
5
17
21
16
28
56
24
10
27
0
0
43
0
1
2
0
0
19
0
26
4
27
22
28
31
12
0
3
32
12
0
0
25
0
23
27
16
0
0
15
40
0
0
0
0
0
0
13
27
0
0
49
0
1
0
0
16
0
0
4
0
9
27
0
5
12
13
0
0
15
4
34
0
0
0
28
0
0
0
0
0
0
25
9
7
0
12
0
11
13
0
0
3
20
0
0
26
3
0
3
21
28
0
0
0
6
0
5
0
9
0
7
0
0
3
10
11
30
3
21
25
0
40
0
0
10
0
27
0
25
0
0
0
0
0
4
0
0
4
11
2
0
0
0
0
0
0
27
0
19
16
0
0
7
0
0
31
4
7
0
0
42
14
23
47
58
0
0
0
5
2
23
0
3
2
3
0
3
5
24
0
4
0
3
4
0
0
5
0
0
9
23
34
49
0
0
0
12
0
0
93
27
0
0
15
0
0
0
2
15
0
35
16
3
0
21
0
0
13
15
0
4
26
0
13
0
0
47
0
0
26
2
4
4
12
3
0
0
0
28
0
25
0
0
0
0
31
12
0
0
0
17
26
8
0
0
3
44
27
0
6
31
7
0
0
21
0
13
0
17
0
23
0
34
4
32
9
2
2
0
5
28
33
0
0
6
14
6
0
0
0
21
26
0
0
0
0
0
0
5
0
0
34
4
0
13
0
27
8
31
0
0
4
37
10
0
4
0
0
0
0
28
9
14
32
0
3
54
0
1
0
0
3
15
4
0
8
33
0
3
0
0
0
26
27
45
0
32
3
32
0
16
0
24
14
14
0
0
0
3
0
0
12
32
30
0
20
11
0
34
0
2
64
0
36
38
15
0
16
0
0
0
0
8
25
28
0
3
2
0
2
3
0
0
12
16
0
0
16
0
0
0
4
0
0
13
5
0
16
0
11
4
0
0
0
22
2
0
43
3
0
0
0
4
6
3
0
0
41
0
3
23
0
5
0
0
0
15
18
0
0
24
0
2
5
0
0
19
8
47
0
5
10
23
3
15
0
8
5
0
24
12
23
0
29
0
0
0
16
0
0
18
0
5
0
3
0
6
0
3
17
0
12
0
3
0
0
39
0
0
0
0
25
10
27
7
47
22
0
0
2
13
6
16
3
0
0
0
0
0
18
15
0
0
0
0
0
0
0
0
4
2
23
0
11
25
3
52
0
15
0
3
0
0
3
0
21
0
0
0
8
0
0
0
1
22
0
5
0
0
0
0
4
5
0
0
0
5
29
0
0
14
12
17
0
0
0
10
5
0
0
0
0
9
19
21
19
0
23
23
4
0
2
0
0
23
0
0
0
43
0
0
0
0
12
3
0
0
0
0
8
0
0
0
0
23
42
43
0
9
3
48
0
0
0
0
11
0
19
0
21
0
0
4
0
28
0
0
23
16
42
0
4
0
0
48
22
0
0
10
