iter	Passed	Remaining
0	49	49351
1	50	25089
2	50	16890
3	51	12765
4	51	10323
5	52	8678
6	52	7500
7	53	6614
8	53	5925
9	54	5377
10	54	4927
11	55	4550
12	55	4230
13	56	3965
14	56	3730
15	57	3522
16	58	3391
17	59	3247
18	60	3119
19	61	2990
20	61	2889
21	63	2803
22	63	2699
23	64	2602
24	64	2515
25	65	2449
26	65	2374
27	66	2308
28	66	2242
29	67	2182
30	68	2125
31	68	2071
32	69	2022
33	69	1976
34	70	1932
35	70	1891
36	71	1851
37	71	1813
38	72	1778
39	73	1754
40	73	1727
41	75	1719
42	76	1700
43	78	1709
44	79	1683
45	79	1656
46	80	1629
47	80	1603
48	81	1583
49	82	1567
50	83	1546
51	83	1523
52	84	1501
53	84	1481
54	85	1461
55	85	1443
56	86	1424
57	86	1408
58	87	1392
59	88	1384
60	89	1370
61	89	1355
62	90	1340
63	90	1326
64	91	1313
65	94	1342
66	95	1329
67	95	1314
68	96	1301
69	96	1288
70	97	1275
71	97	1262
72	98	1250
73	98	1238
74	99	1228
75	100	1217
76	101	1212
77	101	1201
78	105	1235
79	108	1252
80	109	1242
81	109	1230
82	110	1218
83	110	1208
84	111	1198
85	111	1188
86	112	1177
87	112	1168
88	113	1159
89	113	1150
90	114	1141
91	114	1132
92	115	1124
93	115	1115
94	116	1107
95	116	1098
96	117	1091
97	118	1095
98	120	1100
99	122	1101
100	123	1101
101	124	1095
102	124	1087
103	125	1082
104	126	1074
105	126	1068
106	127	1061
107	127	1054
108	128	1048
109	128	1041
110	129	1035
111	129	1029
112	130	1023
113	130	1017
114	131	1011
115	131	1005
116	132	1000
117	133	997
118	134	995
119	135	994
120	136	992
121	137	988
122	138	985
123	138	979
124	139	974
125	139	970
126	140	964
127	140	959
128	141	954
129	141	949
130	142	945
131	143	940
132	143	935
133	144	932
134	144	927
135	145	922
136	145	918
137	146	913
138	148	921
139	151	929
140	152	929
141	153	925
142	153	921
143	154	919
144	155	915
145	155	910
146	156	906
147	156	902
148	157	898
149	157	893
150	158	889
151	158	885
152	159	881
153	159	878
154	160	874
155	160	870
156	161	866
157	162	864
158	163	866
159	166	872
160	166	867
161	167	865
162	167	861
163	168	860
164	169	857
165	169	853
166	170	850
167	170	845
168	171	842
169	171	838
170	172	838
171	173	834
172	174	832
173	174	829
174	175	825
175	175	821
176	176	818
177	179	828
178	181	832
179	182	829
180	182	826
181	183	823
182	183	820
183	184	817
184	184	814
185	185	811
186	186	810
187	186	806
188	187	803
189	187	800
190	188	800
191	189	798
192	190	795
193	190	793
194	191	790
195	193	794
196	196	800
197	196	797
198	197	794
199	197	791
200	198	789
201	199	787
202	199	784
203	200	781
204	201	780
205	202	778
206	202	776
207	203	773
208	203	771
209	204	768
210	204	765
211	205	764
212	206	762
213	208	764
214	209	765
215	210	764
216	211	764
217	213	764
218	213	762
219	214	760
220	215	758
221	215	756
222	216	754
223	216	751
224	217	749
225	218	747
226	218	744
227	219	742
228	219	740
229	221	741
230	222	739
231	222	737
232	223	736
233	225	736
234	225	735
235	226	732
236	226	730
237	227	728
238	227	725
239	228	724
240	229	721
241	229	719
242	230	716
243	230	714
244	231	712
245	231	710
246	232	709
247	233	707
248	233	705
249	234	703
250	235	701
251	236	701
252	237	700
253	237	698
254	239	698
255	240	697
256	240	695
257	242	696
258	242	694
259	243	692
260	243	689
261	244	688
262	245	687
263	245	685
264	246	683
265	246	681
266	247	679
267	248	678
268	248	676
269	249	674
270	250	672
271	251	672
272	251	670
273	252	668
274	253	667
275	253	665
276	254	663
277	254	661
278	255	659
279	255	657
280	256	655
281	256	654
282	257	651
283	257	650
284	258	647
285	258	646
286	259	644
287	259	642
288	260	640
289	260	638
290	261	636
291	261	634
292	262	633
293	262	631
294	263	629
295	263	627
296	264	625
297	265	624
298	265	622
299	266	620
300	266	619
301	267	617
302	267	615
303	268	613
304	268	612
305	269	610
306	269	608
307	270	606
308	270	605
309	271	603
310	271	601
311	272	600
312	272	598
313	273	596
314	273	594
315	274	593
316	274	591
317	275	589
318	275	588
319	276	586
320	276	584
321	277	583
322	277	581
323	278	580
324	278	579
325	279	578
326	280	577
327	281	575
328	281	574
329	282	572
330	282	571
331	283	569
332	283	568
333	284	566
334	284	565
335	285	563
336	285	562
337	286	560
338	286	559
339	287	557
340	287	556
341	288	554
342	288	553
343	289	551
344	289	550
345	290	548
346	290	547
347	291	546
348	292	545
349	292	544
350	293	542
351	294	542
352	295	541
353	296	540
354	296	538
355	297	537
356	297	535
357	298	534
358	298	533
359	299	531
360	299	530
361	300	528
362	300	527
363	300	525
364	301	524
365	301	523
366	302	521
367	302	520
368	303	518
369	303	517
370	304	516
371	304	514
372	305	513
373	305	511
374	306	510
375	306	509
376	307	507
377	307	506
378	308	505
379	309	504
