,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,307,0.0,0,0,0.0,18526.0,0.0,0.0,2017-04-04T18:45:00Z,04 Apr 19:45,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,31,0,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0,45,True,0.0,0,,,,,
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,318,0.0,0,0,0.0,19187.0,0.0,0.0,2017-04-08T11:30:00Z,08 Apr 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,32,0,36,0.0,0.0,0.0,0,4,0.0,0,26,33,7,45,False,0.0,0,,,,,
2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,329,0.0,0,0,0.0,19849.0,0.0,0.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,33,0,75,0.0,0.0,0.0,0,1,0.0,0,10,22,12,45,True,0.0,0,,,,,
3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,335,0.0,0,0,0.0,20584.0,0.0,0.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,34,0,124,0.0,0.0,0.0,0,2,0.0,0,15,27,12,45,False,0.0,0,,,,,
4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,349,0.0,0,0,0.0,21252.0,0.0,0.0,2017-05-01T19:00:00Z,01 May 20:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,35,0,153,0.0,0.0,0.0,1,0,0.0,0,9,16,7,45,True,0.0,0,,,,,
5,0,4.0,0.0,0.0,0,4,0,0.0,3.0,14.3,0.0,0.0,659,0.0,0.0,356,0.0,1,0,2.2,21987.0,4.0,1.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,8,0.0,1.0,8,0,0.0,0,0,0.0,0,36,0,159,1.0,0.0,0.0,0,3,4.0,1,-5,17,22,45,False,0.0,0,,,,,
6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,363,0.0,0,0,0.0,22983.0,0.0,0.0,2017-05-12T18:45:00Z,12 May 19:45,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,37,0,164,0.0,0.0,0.0,0,1,0.0,0,3,16,13,45,False,0.0,0,,,,,
7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,273,0.0,0,0,0.0,22982.0,0.0,0.0,2017-05-15T19:00:00Z,15 May 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,37,0,164,0.0,0.0,0.0,3,4,0.0,0,3,16,13,45,False,0.0,0,,,,,
8,0,2.0,0.0,0.0,0,2,0,0.0,1.0,0.3,0.0,0.0,659,0.0,0.0,380,0.0,0,0,0.1,23664.0,0.2,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,17,0.0,0.0,10,0,0.0,0,0,0.0,0,38,0,183,1.0,0.0,0.0,5,0,0.0,1,10,22,12,45,True,0.0,0,,,,,
9,0,,,,0,0,0,,,0.0,,,332,,,4,,0,0,0.0,,0.0,,2023-08-12T14:00:00Z,,,,0,,,5,0,,0,0,,0,1,0,18802,,,,1,4,0.0,0,0,0,0,45,False,,0,0.0,0.0,0.0,0.0,0.0
10,0,,,,0,0,0,,,0.0,,,332,,,26,,0,0,0.0,,0.0,,2023-08-25T19:00:00Z,,,,0,,,7,0,,0,0,,0,3,0,15241,,,,0,3,0.0,0,-2688,200,2888,45,False,,0,0.0,0.0,0.0,0.0,0.0
11,0,,,,0,0,0,,,0.0,,,332,,,38,,0,0,0.0,,0.0,,2023-09-01T19:00:00Z,,,,0,,,19,0,,0,0,,0,4,0,14216,,,,2,1,0.0,0,-1492,968,2460,44,True,,0,0.0,0.0,0.0,0.0,0.0
12,0,,,,0,0,0,,,0.0,,,332,,,44,,0,0,0.0,,0.0,,2023-09-16T14:00:00Z,,,,0,,,10,0,,0,0,,0,5,0,11025,,,,0,1,0.0,0,-3176,0,3176,44,False,,0,0.0,0.0,0.0,0.0,0.0
13,0,,,,0,0,0,,,0.0,,,332,,,58,,0,0,0.0,,0.0,,2023-09-23T14:00:00Z,,,,0,,,20,0,,0,0,,0,6,0,9646,,,,1,1,0.0,0,-1442,0,1442,44,True,,0,0.0,0.0,0.0,0.0,0.0
14,0,,,,0,0,0,,,0.0,,,332,,,63,,0,0,0.0,,0.0,,2023-09-30T14:00:00Z,,,,0,,,9,0,,0,0,,0,7,0,8357,,,,2,1,0.0,0,-1252,0,1252,44,False,,0,0.0,0.0,0.0,0.0,0.0
15,0,,,,0,0,0,,,0.0,,,332,,,15,,0,0,0.0,,0.0,,2023-10-03T18:30:00Z,,,,0,,,6,0,,0,0,,0,7,0,8357,,,,2,1,0.0,0,-1252,0,1252,44,True,,0,0.0,0.0,0.0,0.0,0.0
16,0,,,,0,0,0,,,0.0,,,332,,,77,,0,0,0.0,,0.0,,2023-10-07T11:30:00Z,,,,0,,,18,0,,0,0,,0,8,0,7611,,,,1,0,0.0,0,-771,0,771,44,True,,0,0.0,0.0,0.0,0.0,0.0
17,0,,,,0,0,0,,,0.0,,,332,,,88,,0,0,0.0,,0.0,,2023-10-21T14:00:00Z,,,,0,,,16,0,,0,0,,0,9,0,7134,,,,2,2,0.0,0,-513,0,513,44,False,,0,0.0,0.0,0.0,0.0,0.0
18,0,,,,0,0,0,,,0.0,,,332,,,92,,0,0,0.0,,0.0,,2023-10-29T14:00:00Z,,,,0,,,2,0,,0,0,,0,10,0,6757,,,,1,3,0.0,0,-390,0,390,44,False,,0,0.0,0.0,0.0,0.0,0.0
19,0,,,,0,0,0,,,0.0,,,332,,,105,,0,0,0.0,,0.0,,2023-11-05T16:30:00Z,,,,0,,,11,0,,0,0,,0,11,0,6469,,,,1,1,0.0,0,-291,0,291,44,True,,0,0.0,0.0,0.0,0.0,0.0
20,0,,,,0,0,0,,,0.0,,,332,,,118,,0,0,0.0,,0.0,,2023-11-11T15:00:00Z,,,,0,,,14,0,,0,0,,0,12,0,6165,,,,0,1,0.0,0,-293,0,293,44,False,,0,0.0,0.0,0.0,0.0,0.0
21,0,,,,0,0,0,,,0.0,,,332,,,125,,0,0,0.0,,0.0,,2023-11-25T15:00:00Z,,,,0,,,8,0,,0,0,,0,13,0,5921,,,,1,2,0.0,0,-255,0,255,44,True,,0,0.0,0.0,0.0,0.0,0.0
22,0,,,,0,0,0,,,0.0,,,332,,,133,,0,0,0.0,,0.0,,2023-12-02T15:00:00Z,,,,0,,,4,0,,0,0,,0,14,0,5771,,,,1,3,0.0,0,-156,0,156,44,False,,0,0.0,0.0,0.0,0.0,0.0
23,0,,,,0,0,0,,,0.0,,,332,,,146,,0,0,0.0,,0.0,,2023-12-05T20:15:00Z,,,,0,,,1,0,,0,0,,0,15,0,5674,,,,4,3,0.0,0,-101,0,101,44,True,,0,0.0,0.0,0.0,0.0,0.0
24,0,,,,0,0,0,,,0.0,,,332,,,156,,0,0,0.0,,0.0,,2023-12-10T14:00:00Z,,,,0,,,13,0,,0,0,,0,16,0,5570,,,,2,1,0.0,0,-108,0,108,44,True,,0,0.0,0.0,0.0,0.0,0.0
25,0,,,,0,0,0,,,0.0,,,332,,,175,,0,0,0.0,,0.0,,2023-12-23T15:00:00Z,,,,0,,,15,0,,0,0,,0,18,0,5297,,,,0,1,0.0,0,-114,0,114,44,True,,0,0.0,0.0,0.0,0.0,0.0
26,0,,,,0,0,0,,,0.0,,,332,,,190,,0,0,0.0,,0.0,,2023-12-26T15:00:00Z,,,,0,,,17,0,,0,0,,0,19,0,5229,,,,3,2,0.0,0,-82,0,82,44,False,,0,0.0,0.0,0.0,0.0,0.0
27,0,,,,0,0,0,,,0.0,,,438,,,197,,0,0,0.0,,0.0,,2023-12-30T17:30:00Z,,,,0,,,14,0,,0,0,,0,20,0,6921,,,,1,2,0.0,0,-114,0,114,39,True,,0,0.00,0.00,0.00,0.00,0.0
28,0,,,,0,0,0,,,0.0,,,438,,,189,,0,0,0.0,,0.0,,2023-12-26T12:30:00Z,,,,0,,,15,0,,0,0,,0,19,0,7030,,,,3,1,0.0,0,-60,0,60,39,False,,0,0.00,0.00,0.00,0.00,0.0
29,0,,,,0,0,0,,,0.0,,,438,,,177,,0,0,0.0,,0.0,,2023-12-23T15:00:00Z,,,,0,,,3,0,,0,0,,0,18,0,7088,,,,3,2,0.0,0,-97,0,97,39,True,,0,0.00,0.00,0.00,0.00,0.0
30,0,,,,0,0,0,,,0.0,,,438,,,169,,0,0,0.0,,0.0,,2023-12-15T20:00:00Z,,,,0,,,18,0,,0,0,,0,17,0,7181,,,,2,0,0.0,0,-123,0,123,39,True,,0,0.00,0.00,0.00,0.00,0.0
31,0,,,,0,0,0,,,0.0,,,438,,,160,,0,0,0.0,,0.0,,2023-12-09T15:00:00Z,,,,0,,,20,0,,0,0,,0,16,0,7312,,,,1,1,0.0,0,-98,0,98,39,False,,0,0.00,0.00,0.00,0.00,0.0
