,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,6448,0,0,2,0.0,0,0,0,0,45,False,0
1,1,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,19,0,0,0,0,2,0,6632,0,0,1,0.0,0,-947,158,1105,45,True,0
2,2,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,6673,0,1,1,0.0,0,-605,424,1029,45,False,0
3,3,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,6147,0,2,0,0.0,0,-767,110,877,44,True,0
4,4,0,0,6,0,0.0,399,0.0,0.0,0.0,0.47,49,1,0,0.4,3.8,2022-08-31T18:30:00Z,11,13,0,0,0,0,5,0,5856,0,0,6,0.0,1,-461,72,533,44,False,0
5,5,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,5653,0,3,2,0.0,0,-383,100,483,44,True,0
6,6,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,5545,0,3,2,0.0,0,-106,57,163,43,True,0
7,7,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,10,0,0,0,0,9,0,5413,0,0,4,0.0,0,-212,44,256,43,False,0
8,8,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,5325,0,1,1,0.0,0,-171,45,216,43,True,0
9,9,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,5292,0,0,1,0.0,0,-102,57,159,43,False,0
10,10,0,0,3,0,0.0,399,0.0,0.0,0.0,0.08,114,0,0,0.3,3.0,2022-10-18T18:30:00Z,4,5,0,0,0,0,12,0,5212,0,0,0,0.0,1,-115,39,154,43,False,0
11,11,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,5213,0,0,1,0.0,0,-67,69,136,43,True,0
12,12,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,5139,0,0,5,0.0,0,-129,51,180,42,False,0
13,13,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,4994,0,2,2,0.0,0,-165,57,222,42,True,0
14,14,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,7,0,0,0,0,16,0,4724,0,0,1,0.0,0,-276,34,310,42,True,0
15,15,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27T20:00:00Z,0,14,0,0,0,0,17,0,4402,0,0,3,0.0,0,-327,88,415,42,False,0
16,16,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,6,0,0,0,0,18,0,4261,0,1,1,0.0,0,-142,11,153,42,True,0
17,17,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04T19:30:00Z,0,17,0,0,0,0,19,0,4219,0,1,0,0.0,0,-46,7,53,42,False,0
18,18,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,10,0,0,0,0,20,0,4142,0,0,2,0.0,0,-78,9,87,42,True,0
19,19,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,4095,0,1,1,0.0,0,-44,21,65,42,False,0
20,20,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,4035,0,0,1,0.0,0,-62,23,85,42,True,0
21,21,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,4032,0,0,2,0.0,0,-8,42,50,42,False,0
22,22,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,3992,0,1,1,0.0,0,-38,12,50,42,True,0
23,23,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,3967,0,0,4,0.0,0,-25,16,41,42,False,0
24,24,0,0,0,0,0.0,399,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,3931,0,2,2,0.0,0,-40,7,47,42,True,0
