,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
36,36,36,1,3,24,1,24.9,416,107,0,0,6.7,30.0,2023-11-04T17:30:00Z,90,1,0,0,0,0,11,0,41409,0.0,1.0,12.0,9,759,1951,1192,58,True,0,0.04,0.37,0.33,0.56,1.0
37,37,37,0,0,18,0,36.9,416,100,2,0,7.3,26.6,2023-10-28T16:30:00Z,90,20,0,0,0,0,10,0,40181,2.0,2.0,9.0,2,182,1321,1139,58,False,0,0.03,0.12,0.09,0.98,1.0
38,38,38,0,0,7,1,2.6,416,87,0,0,1.4,5.6,2023-10-21T14:00:00Z,80,8,0,0,0,0,9,0,39587,0.0,4.0,6.0,3,-2965,153,3118,58,True,0,0.01,0.01,0.0,0.87,1.0
39,39,39,0,0,0,0,0.0,416,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,19,0,0,0,0,8,0,42386,2.0,2.0,0.0,0,-4491,720,5211,58,False,0,0.0,0.0,0.0,0.0,0.0
40,40,40,0,0,3,0,0.1,416,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,4,6,0,0,0,0,7,0,46998,0.0,2.0,0.0,1,-1552,4285,5837,58,True,0,0.0,0.0,0.0,0.0,0.0
41,41,41,0,0,0,0,0.0,416,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,17,0,0,0,0,6,0,47696,8.0,0.0,0.0,0,-13882,209,14091,59,False,0,0.0,0.0,0.0,0.0,0.0
42,42,42,0,0,0,0,0.0,416,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,4,0,0,0,0,5,0,61488,0.0,1.0,0.0,0,-6885,2465,9350,59,True,0,0.0,0.0,0.0,0.0,0.0
43,43,43,0,0,6,0,2.8,416,33,1,0,1.3,2.2,2023-09-02T16:30:00Z,57,5,0,0,0,0,4,0,66501,1.0,3.0,8.0,1,-8986,1864,10850,59,False,0,0.0,0.13,0.13,1.24,1.0
44,44,44,0,0,17,0,34.7,416,29,1,0,7.3,17.0,2023-08-27T15:30:00Z,81,11,0,0,0,0,3,0,72896,2.0,1.0,21.0,2,-26096,1852,27948,59,True,0,0.06,0.11,0.05,0.47,1.0
45,45,45,0,0,1,0,22.5,416,16,1,0,3.9,7.8,2023-08-19T19:00:00Z,56,13,0,0,0,0,2,0,97508,0.0,1.0,9.0,0,-10185,5021,15206,60,False,1,0.03,0.07,0.04,0.52,1.0
