,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0,0,0.0,709,254,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,6,0,0,0,0,26,0,0,1.0,0.0,0.0,0,0,0,0,40,True,0,,,,,
1,1,1,0,0,0,0,0.0,709,178,0,0,0.0,0.0,2022-02-23T19:30:00Z,0,18,0,0,0,0,26,0,0,4.0,1.0,0.0,0,0,0,0,40,False,0,,,,,
2,2,2,0,0,0,0,0.0,709,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,5,0,0,0,0,27,0,763,1.0,1.0,0.0,0,186,206,20,40,True,0,,,,,
3,3,3,0,0,0,0,0.0,709,280,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,20,0,0,0,0,28,0,473,2.0,0.0,0.0,0,89,154,65,40,False,0,,,,,
4,4,4,0,0,0,0,0.0,709,285,0,0,0.0,0.0,2022-03-14T20:00:00Z,0,12,0,0,0,0,29,0,811,0.0,0.0,0.0,0,161,230,69,40,True,0,,,,,
5,5,5,0,0,0,0,0.0,709,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,1,0,0,0,0,31,0,967,0.0,3.0,0.0,0,95,157,62,40,True,0,,,,,
6,6,6,0,0,0,0,0.0,709,315,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,9,0,0,0,0,32,0,1073,1.0,2.0,0.0,0,65,121,56,40,False,0,,,,,
7,7,7,0,0,0,0,0.0,709,296,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,14,0,0,0,0,33,0,1282,0.0,1.0,0.0,0,77,151,74,40,False,0,,,,,
8,8,8,0,0,0,0,0.0,709,336,0,0,0.0,0.0,2022-04-25T19:00:00Z,0,10,0,0,0,0,34,0,1374,0.0,0.0,0.0,0,95,149,54,40,True,0,,,,,
9,9,9,0,0,0,0,0.0,709,346,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,16,0,0,0,0,35,0,1476,2.0,1.0,0.0,0,54,117,63,40,False,0,,,,,
10,10,10,0,0,0,0,0.0,709,356,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,18,0,0,0,0,36,0,1614,0.0,1.0,0.0,0,56,142,86,40,True,0,,,,,
11,11,11,0,0,0,0,0.0,709,361,0,0,0.0,0.0,2022-05-15T13:00:00Z,0,2,0,0,0,0,37,0,1926,1.0,1.0,0.0,0,145,237,92,40,False,0,,,,,
12,12,12,0,0,0,0,0.0,709,322,0,0,0.0,0.0,2022-05-19T18:45:00Z,0,8,0,0,0,0,37,0,1926,2.0,3.0,0.0,0,145,237,92,40,False,0,,,,,
13,13,13,0,0,0,0,0.0,709,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,13,0,0,0,0,38,0,1997,0.0,1.0,0.0,0,102,199,97,40,True,0,,,,,
14,14,14,0,0,0,0,0.0,766,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,9,0,0,0,0,37,0,0,2.0,2.0,0.0,0,0,0,0,40,False,0,0.0,0.0,0.0,0.0,0.0
15,15,15,0,0,0,0,0.0,766,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,16,0,0,0,0,38,0,319,1.0,1.0,0.0,0,183,195,12,40,True,0,0.0,0.0,0.0,0.0,0.0
16,16,16,0,0,0,0,0.0,763,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,0,2.0,2.0,0.0,0,0,0,0,40,False,0,0.0,0.0,0.0,0.0,0.0
17,17,17,0,0,0,0,0.0,763,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,261,1.0,1.0,0.0,0,122,146,24,40,True,0,0.0,0.0,0.0,0.0,0.0
18,18,18,0,0,0,0,0.0,763,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,7,0,0,0,0,19,0,421,1.0,2.0,0.0,0,117,150,33,40,False,0,0.0,0.0,0.0,0.0,0.0
19,19,19,0,0,0,0,0.0,313,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,1185425,,,0.0,0,62759,87330,24571,62,True,0,0.0,0.0,0.0,0.0,0.0
20,20,20,0,1,29,1,2.2,313,185,0,0,3.0,21.6,2023-12-26T17:30:00Z,90,6,0,0,0,0,19,0,1113771,2.0,0.0,6.0,7,45071,60933,15862,62,False,0,0.02,0.12,0.1,0.76,1.0
21,21,21,0,0,12,0,1.7,313,174,1,0,2.5,21.6,2023-12-23T17:30:00Z,90,1,0,0,0,0,18,0,1059205,1.0,1.0,2.0,2,10560,32167,21607,62,True,0,0.01,0.01,0.0,0.8,1.0
22,22,22,0,0,27,1,12.6,313,166,0,0,8.6,24.2,2023-12-17T16:30:00Z,90,14,0,0,0,0,17,0,1047412,0.0,0.0,49.0,6,57215,85529,28314,62,True,0,0.14,0.21,0.07,0.63,1.0
23,23,23,0,0,10,0,2.8,313,153,1,0,3.3,26.4,2023-12-09T12:30:00Z,90,8,0,0,0,0,16,0,978316,2.0,1.0,4.0,2,67147,76811,9664,61,False,0,0.02,0.17,0.15,1.74,1.0
24,24,24,0,2,44,1,1.5,313,147,0,1,10.1,59.6,2023-12-06T19:30:00Z,90,17,0,0,0,0,15,0,898633,2.0,0.0,40.0,14,-4657,20045,24702,61,False,0,0.01,0.35,0.34,0.66,1.0
25,25,25,0,0,18,0,2.5,313,136,3,0,3.2,17.2,2023-12-03T14:00:00Z,90,10,0,0,0,0,14,0,901671,3.0,4.0,12.0,1,41269,55254,13985,61,True,0,0.02,0.2,0.18,1.22,1.0
26,26,26,0,0,14,0,0.3,313,126,1,0,3.8,20.2,2023-11-25T12:30:00Z,90,13,0,0,0,0,13,0,850651,1.0,1.0,17.0,2,12675,40116,27441,61,False,0,0.0,0.05,0.05,1.35,1.0
27,27,27,0,0,24,1,1.3,313,117,0,0,5.2,31.2,2023-11-12T14:00:00Z,90,4,0,0,0,0,12,0,824499,0.0,3.0,19.0,6,-35150,24350,59500,61,True,0,0.01,0.08,0.07,1.57,1.0
28,28,28,0,0,16,0,3.7,313,105,1,0,3.2,20.6,2023-11-05T16:30:00Z,90,12,0,0,0,0,11,0,861589,1.0,1.0,8.0,2,57873,72964,15091,61,False,0,0.03,0.11,0.08,0.81,1.0
29,29,29,0,2,32,1,12.5,313,97,0,0,4.8,35.2,2023-10-29T14:00:00Z,90,16,0,0,0,0,10,0,791105,0.0,3.0,0.0,8,40923,59459,18536,60,True,0,0.04,0.04,0.0,0.45,1.0
30,30,30,0,1,28,1,13.1,313,85,0,0,4.4,28.4,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,741548,0.0,2.0,2.0,7,51610,71412,19802,60,True,0,0.02,0.02,0.0,0.13,1.0
31,31,31,0,0,14,0,0.7,313,72,2,0,2.7,24.4,2023-10-08T13:00:00Z,90,5,0,0,0,0,8,0,675635,2.0,2.0,2.0,1,18356,37118,18762,60,False,0,0.01,0.01,0.0,2.3,1.0
32,32,32,1,0,25,0,10.5,313,68,2,0,8.3,66.8,2023-09-30T16:30:00Z,90,18,0,0,0,0,7,0,645865,1.0,2.0,6.0,3,13417,27950,14533,60,False,1,0.12,0.16,0.04,2.1,1.0
33,33,33,1,2,29,0,21.6,313,57,1,0,8.6,45.2,2023-09-24T13:00:00Z,90,19,0,0,0,0,6,0,621048,1.0,3.0,19.0,7,1111,17958,16847,60,True,0,0.08,0.36,0.28,1.11,1.0
