,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,2,0,0.0,712,378,0,0,0.1,1.2,2021-05-23T15:00:00Z,8,20,0,0,0,0,38,0,0,2.0,1.0,0.0,1,0,0,0,45,False,0,,,,,
1,1,1,0,0,0,0,0.0,706,246,0,0,0.0,0.0,2022-02-12T12:30:00Z,0,16,0,0,0,0,25,0,0,1.0,1.0,0.0,0,0,0,0,45,True,0,,,,,
2,2,2,0,0,0,0,0.0,706,174,0,0,0.0,0.0,2022-02-15T20:15:00Z,0,4,0,0,0,0,25,0,0,0.0,2.0,0.0,0,0,0,0,45,True,0,,,,,
3,3,3,0,0,0,0,0.0,706,255,0,0,0.0,0.0,2022-02-20T14:00:00Z,0,10,0,0,0,0,26,0,175,4.0,2.0,0.0,0,115,132,17,45,False,0,,,,,
4,4,4,0,0,0,0,0.0,706,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,18,0,0,0,0,27,0,200,0.0,0.0,0.0,0,16,47,31,45,True,0,,,,,
5,5,5,0,0,0,0,0.0,706,275,0,0,0.0,0.0,2022-03-06T16:30:00Z,0,12,0,0,0,0,28,0,215,1.0,4.0,0.0,0,4,30,26,45,False,0,,,,,
6,6,6,0,0,0,0,0.0,706,288,0,0,0.0,0.0,2022-03-12T17:30:00Z,0,17,0,0,0,0,29,0,292,2.0,3.0,0.0,0,52,99,47,45,True,0,,,,,
7,7,7,0,0,0,0,0.0,706,307,0,0,0.0,0.0,2022-04-02T16:30:00Z,0,9,0,0,0,0,31,0,302,1.0,1.0,0.0,0,7,34,27,45,True,0,,,,,
8,8,8,0,0,0,0,0.0,706,314,0,0,0.0,0.0,2022-04-09T11:30:00Z,0,8,0,0,0,0,32,0,340,0.0,1.0,0.0,0,31,51,20,45,False,0,,,,,
9,9,9,0,0,0,0,0.0,706,324,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,15,0,0,0,0,33,0,384,2.0,3.0,0.0,0,24,65,41,45,True,0,,,,,
