,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
101,101,0,0,18,0,16.3,365,126,1,0,3.8,18.0,2023-11-25T12:30:00Z,90,11,0,0,0,0,13,0,625459,1,1,4.0,2,16074,30586,14512,56,True,0,0.1,0.14,0.04,0.56,1.0
102,102,0,0,29,0,36.0,365,115,4,1,9.7,51.6,2023-11-12T16:30:00Z,90,7,0,0,0,0,12,0,604237,4,4,9.0,6,-4640,17419,22059,56,False,1,0.09,0.12,0.03,2.96,1.0
103,103,1,0,24,1,27.9,365,106,0,0,7.4,35.6,2023-11-04T15:00:00Z,70,3,0,0,0,0,11,0,607951,1,6,10.0,6,24070,40219,16149,56,True,0,0.12,0.17,0.05,0.31,1.0
104,104,1,0,22,1,8.8,365,98,0,0,3.9,18.4,2023-10-29T15:30:00Z,90,14,0,0,0,0,10,0,578838,3,0,12.0,6,-21554,14047,35601,56,False,0,0.06,0.14,0.08,1.03,1.0
105,105,0,0,11,0,7.8,365,86,1,0,2.1,13.6,2023-10-21T14:00:00Z,90,5,0,0,0,0,9,0,598920,1,2,0.0,1,-689,26616,27305,56,True,1,0.03,0.03,0.0,0.83,1.0
106,106,0,0,0,0,0.0,365,71,0,0,0.0,0.0,2023-10-08T15:30:00Z,0,1,0,0,0,0,8,0,589638,0,1,0.0,0,-123629,2064,125693,56,False,0,0.0,0.0,0.0,0.0,0.0
107,107,0,0,0,0,0.0,365,70,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,20,0,0,0,0,7,0,695298,1,2,0.0,0,-506631,2473,509104,56,False,0,0.0,0.0,0.0,0.0,0.0
108,108,0,0,1,0,14.1,365,59,0,0,1.7,1.2,2023-09-23T14:00:00Z,45,16,0,0,0,1,6,0,1215447,0,2,2.0,-2,-28647,80570,109217,57,True,0,0.24,0.24,0.0,1.92,1.0
109,109,0,0,17,0,56.6,365,49,1,0,11.5,23.2,2023-09-16T14:00:00Z,90,19,0,0,0,0,5,0,1232114,3,1,35.0,1,-29725,102977,132702,57,False,1,1.12,1.32,0.2,0.94,1.0
110,110,0,0,7,0,8.8,365,39,1,0,1.7,8.0,2023-09-02T14:00:00Z,75,10,0,0,0,0,4,0,1237508,1,5,0.0,1,195402,247089,51687,57,True,1,0.08,0.08,0.0,1.45,1.0
111,111,0,3,39,0,19.3,365,30,1,1,10.8,51.8,2023-08-27T13:00:00Z,90,17,0,0,0,0,3,0,984866,2,1,37.0,10,114816,204457,89641,56,False,0,0.09,0.36,0.27,0.73,1.0
112,112,0,0,19,1,8.4,365,16,0,0,3.1,20.4,2023-08-19T19:00:00Z,90,15,0,0,0,0,2,0,831130,0,1,2.0,3,395603,422644,27041,56,True,0,0.07,0.07,0.0,0.29,1.0
