,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0,0.0,582,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,961,0,1,1,0.0,0,619,753,134,50,False,0,3
1,1,1,0,0,2,0,0.9,582,0.01,0.07,0.06,0.84,38,1,0,0.4,0.0,2022-08-28T15:30:00Z,15,18,0,0,0,0,4,0,1085,0,2,0,4.0,1,-117,217,334,50,True,0,3
2,2,2,0,0,10,0,1.0,582,0.02,0.06,0.04,3.32,49,6,0,1.7,8.4,2022-08-31T18:30:00Z,90,13,0,0,0,0,5,0,1217,1,0,6,8.0,2,-94,136,230,50,False,0,3
3,3,3,0,0,0,0,0.0,582,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,1808,0,3,2,0.0,0,259,488,229,50,True,0,3
4,4,4,0,0,10,0,2.3,582,0.01,0.01,0.0,0.51,78,3,0,1.2,9.6,2022-09-16T19:00:00Z,69,9,0,0,0,0,8,0,1970,1,3,2,0.0,2,8,116,108,50,True,0,3
5,5,5,0,0,11,0,15.1,582,0.08,0.08,0.0,0.41,86,1,0,2.4,8.4,2022-10-03T19:00:00Z,45,10,0,0,0,0,9,0,1979,0,0,4,0.0,1,-76,122,198,50,False,0,3
6,6,6,0,0,10,0,2.6,582,0.01,0.01,0.0,0.69,99,1,0,2.1,18.2,2022-10-10T19:00:00Z,90,2,0,0,0,0,10,0,1982,1,1,1,0.0,2,-105,86,191,50,True,0,3
7,7,7,0,0,12,0,11.8,582,0.01,0.01,0.0,1.32,110,1,0,2.2,10.6,2022-10-15T14:00:00Z,83,20,0,0,0,0,11,0,2023,1,0,1,0.0,2,-46,69,115,50,False,0,3
8,8,8,0,0,6,1,1.8,582,0.01,0.01,0.0,1.66,114,0,0,0.6,4.4,2022-10-18T18:30:00Z,90,5,0,0,0,0,12,0,2113,1,0,0,0.0,2,15,115,100,50,False,1,3
9,9,9,0,0,9,1,0.6,582,0.01,0.01,0.0,1.66,126,0,0,1.3,12.0,2022-10-22T11:30:00Z,90,12,0,0,0,0,13,0,2122,1,0,1,0.0,2,-38,91,129,50,True,1,3
