,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
10,10,10,0,0,0,0,0.0,634,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,9,0,0,0,0,17,0,17792,3,0,0.0,0,1516,6164,4648,45,True,0,0.0,0.0,0.0,0.0,0.0,4
11,11,11,0,0,0,0,0.0,634,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,17994,2,0,0.0,0,-103,1445,1548,45,False,0,0.0,0.0,0.0,0.0,0.0,4
12,12,12,0,0,0,0,0.0,634,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,17505,4,0,0.0,0,-660,788,1448,45,True,0,0.0,0.0,0.0,0.0,0.0,4
13,13,13,0,0,0,0,0.0,634,194,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,6,0,0,0,0,20,0,17473,0,1,0.0,0,-527,1321,1848,45,False,0,0.0,0.0,0.0,0.0,0.0,4
14,14,14,0,0,0,0,0.0,634,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,14,0,0,0,0,20,0,17473,1,1,0.0,0,-527,1321,1848,45,True,0,0.0,0.0,0.0,0.0,0.0,4
15,15,15,0,0,0,0,0.0,634,203,0,0,0.0,0.0,2023-01-21T17:30:00Z,0,15,0,0,0,0,21,0,15111,0,0,0.0,0,-2204,81,2285,45,True,0,0.0,0.0,0.0,0.0,0.0,4
16,16,16,0,0,0,0,0.0,634,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,14,0,0,0,0,22,0,13222,1,2,0.0,0,-1882,0,1882,45,False,0,0.0,0.0,0.0,0.0,0.0,4
17,17,17,0,0,0,0,0.0,634,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,5,0,0,0,0,23,0,12463,1,1,0.0,0,-806,0,806,45,True,0,0.0,0.0,0.0,0.0,0.0,4
18,18,18,0,0,0,0,0.0,634,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,4,0,0,0,0,24,0,11869,1,1,0.0,0,-591,0,591,45,False,0,0.0,0.0,0.0,0.0,0.0,4
19,19,19,0,0,0,0,0.0,634,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,11337,0,0,0.0,0,-473,0,473,45,True,0,0.0,0.0,0.0,0.0,0.0,4
