,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,4,0,0.1,613,0.0,0.0,0.0,0.02,9,0,0,0.6,6.0,2023-08-13T15:30:00Z,1,11,0,0,0,0,1,0,10397,0,1,1,0.0,1,0,0,0,45,True,0,3
1,1,1,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,14834,0,1,3,0.0,0,779,2778,1999,45,False,0,3
2,2,2,0,0,3,0,0.6,613,0.04,0.04,0.0,0.07,26,0,0,0.3,0.6,2023-08-25T19:00:00Z,7,12,0,0,0,0,3,0,13948,0,0,3,2.0,1,-1423,1263,2686,45,True,0,3
3,3,3,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,12955,0,1,0,0.0,0,-1315,739,2054,45,True,0,3
4,4,4,0,0,11,1,14.0,613,0.03,0.03,0.0,1.19,42,0,0,2.2,8.0,2023-09-17T13:00:00Z,90,3,0,0,0,0,5,0,15834,1,0,0,0.0,3,1465,3383,1918,44,False,0,3
5,5,5,0,0,8,0,1.0,613,0.01,0.01,0.0,0.71,55,1,0,0.8,7.4,2023-09-24T13:00:00Z,22,2,0,0,0,0,6,0,22532,0,1,0,0.0,1,5455,7573,2118,44,True,0,3
6,6,6,0,0,3,0,2.2,613,0.0,0.0,0.0,0.05,64,0,0,0.3,0.6,2023-10-02T19:00:00Z,12,10,0,0,0,0,7,0,26919,0,2,0,0.0,1,3545,6867,3322,44,False,0,3
7,7,7,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,31566,0,4,1,0.0,0,3985,8591,4606,44,False,0,3
8,8,8,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,30717,0,2,2,0.0,0,-279,2743,3022,44,True,0,3
9,9,9,0,0,5,0,1.2,613,0.01,0.01,0.0,1.64,95,1,0,0.4,2.8,2023-10-28T11:30:00Z,9,4,0,0,0,0,10,0,30717,0,2,0,0.0,1,-129,2902,3031,44,True,0,3
10,10,10,0,0,0,0,0.0,613,0.0,0.0,0.0,0.14,110,0,0,0.1,1.0,2023-11-06T20:00:00Z,1,18,0,0,0,0,11,0,31772,0,4,1,0.0,0,766,2900,2134,44,False,1,3
11,11,11,0,0,3,0,0.0,613,0.0,0.0,0.0,0.07,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,1,13,0,0,0,0,12,0,29971,0,4,4,0.0,1,-1681,961,2642,44,True,0,3
12,12,12,0,0,7,0,1.3,613,0.01,0.01,0.0,1.93,127,3,0,1.3,11.6,2023-11-25T15:00:00Z,68,15,0,0,0,0,13,0,29238,1,1,4,0.0,1,-835,1422,2257,44,False,1,3
13,13,13,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,5,0,0,0,0,14,0,29621,0,2,3,0.0,0,113,1591,1478,44,True,0,3
14,14,14,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,28886,0,1,2,0.0,0,-726,613,1339,44,False,0,3
15,15,15,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,9,0,0,0,0,16,0,26333,0,0,2,0.0,0,-2470,28,2498,44,False,0,3
16,16,16,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,23807,0,0,2,0.0,0,-2383,31,2414,44,True,0,3
17,17,17,0,0,9,0,1.6,613,0.01,0.01,0.0,0.91,180,1,0,1.1,9.0,2023-12-24T13:00:00Z,58,20,0,0,0,0,18,0,22014,1,1,2,0.0,1,-1845,10,1855,44,False,0,3
18,18,18,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,21494,0,1,2,0.0,0,-726,60,786,44,True,0,3
19,19,19,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,200,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,20,0,0,0,0,20,0,56927,0,0,3,0.0,0,-1285,131,1416,39,False,0,3
20,20,20,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-12-27T20:15:00Z,0,13,0,0,0,0,19,0,58179,0,3,1,0.0,0,-675,69,744,39,True,0,3
21,21,21,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,18,0,0,0,0,18,0,58683,0,1,2,0.0,0,-1083,118,1201,39,False,0,3
22,22,22,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,6,0,0,0,0,17,0,59756,0,2,0,0.0,0,-1189,251,1440,39,False,0,3
23,23,23,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,7,0,0,0,0,16,0,61059,0,0,2,0.0,0,-1528,252,1780,39,True,0,3
24,24,24,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,15,0,0,0,0,15,0,62527,0,0,3,0.0,0,-2028,220,2248,39,True,0,3
25,25,25,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,16,0,0,0,0,14,0,64568,0,1,0,0.0,0,-1322,416,1738,39,False,0,3
26,26,26,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,14,0,0,0,0,13,0,65769,0,3,0,0.0,0,-1211,435,1646,39,True,0,3
27,27,27,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,8,0,0,0,0,12,0,66936,0,3,2,0.0,0,-791,588,1379,39,False,0,3
28,28,28,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,5,0,0,0,0,11,0,67732,0,1,1,0.0,0,-264,993,1257,39,True,0,3
29,29,29,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,19,0,0,0,0,10,0,67824,0,1,0,0.0,0,-1368,1629,2997,39,False,0,3
30,30,30,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,69149,0,0,2,0.0,0,-1609,1554,3163,39,False,0,3
31,31,31,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,3,0,0,0,0,8,0,71093,0,0,3,0.0,0,-926,5592,6518,39,True,0,3
32,32,32,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,12,0,0,0,0,7,0,73953,0,2,1,0.0,0,10123,15415,5292,39,True,0,3
33,33,33,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2023-09-23T16:30:00Z,0,4,0,0,0,0,6,0,61885,0,3,1,0.0,0,14428,18561,4133,39,False,0,3
34,34,34,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,1,0,0,0,0,5,0,41084,0,1,0,0.0,0,-2014,2457,4471,39,True,0,3
35,35,35,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,42032,0,2,2,0.0,0,-3628,140,3768,40,False,0,3
36,36,36,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,20,0,0,0,0,3,0,45397,0,1,0,0.0,0,-4534,148,4682,40,True,0,3
37,37,37,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,2,0,0,0,0,2,0,49608,0,0,4,0.0,0,-2525,375,2900,40,False,0,3
