,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,3740,0,0,2,0.0,0,0,0,0,45,False,0
1,1,1,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,19,0,0,0,0,2,0,3292,0,0,1,0.0,0,-1043,26,1069,45,True,0
2,2,2,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,2285,0,1,1,0.0,0,-1029,0,1029,45,False,0
3,3,3,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,1916,0,2,0,0.0,0,-404,0,404,45,True,0
4,4,4,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,1742,0,0,6,0.0,0,-183,0,183,45,False,0
5,5,5,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,1592,0,3,2,0.0,0,-152,0,152,45,True,0
6,6,6,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,1469,0,3,2,0.0,0,-48,0,48,45,True,0
7,7,7,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,10,0,0,0,0,9,0,1419,0,0,4,0.0,0,-52,0,52,45,False,0
8,8,8,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,1363,0,1,1,0.0,0,-55,0,55,45,True,0
9,9,9,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,1341,0,0,1,0.0,0,-21,0,21,45,False,0
10,10,10,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,1312,0,0,0,0.0,0,-25,0,25,45,False,0
11,11,11,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,1304,0,0,1,0.0,0,-16,0,16,45,True,0
12,12,12,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,1279,0,0,5,0.0,0,-24,0,24,45,False,0
13,13,13,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,1262,0,2,2,0.0,0,-18,0,18,45,True,0
14,14,14,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,7,0,0,0,0,16,0,1249,0,0,1,0.0,0,-13,0,13,45,True,0
15,15,15,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27T20:00:00Z,0,14,0,0,0,0,17,0,1211,0,0,3,0.0,0,-38,0,38,45,False,0
16,16,16,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,6,0,0,0,0,18,0,1200,0,1,1,0.0,0,-9,0,9,45,True,0
17,17,17,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04T19:30:00Z,0,17,0,0,0,0,19,0,1194,0,1,0,0.0,0,-7,0,7,45,False,0
18,18,18,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,10,0,0,0,0,20,0,1183,0,0,2,0.0,0,-12,0,12,45,True,0
19,19,19,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,1179,0,1,1,0.0,0,-4,0,4,45,False,0
20,20,20,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,1168,0,0,1,0.0,0,-11,0,11,45,True,0
21,21,21,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,1167,0,0,2,0.0,0,-1,0,1,45,False,0
22,22,22,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,1161,0,1,1,0.0,0,-6,0,6,45,True,0
23,23,23,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,1152,0,0,4,0.0,0,-8,0,8,45,False,0
24,24,24,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,1152,0,2,2,0.0,0,-2,0,2,45,True,0
25,25,25,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,1147,0,1,3,0.0,0,-4,0,4,45,False,0
26,26,26,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,1143,0,2,1,0.0,0,-4,0,4,45,True,0
27,27,27,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,1143,0,1,1,0.0,0,-1,0,1,45,True,0
28,28,28,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,11,0,0,0,0,29,0,1143,0,1,2,0.0,0,-1,0,1,45,False,0
29,29,29,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,2,0,0,0,0,30,0,1139,0,0,2,0.0,0,-4,0,4,45,False,0
30,30,30,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,14,0,0,0,0,31,0,1137,0,2,0,0.0,0,-2,0,2,45,True,0
31,31,31,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,12,0,0,0,0,32,0,1137,0,2,3,0.0,0,0,0,0,45,False,0
32,32,32,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,5,0,0,0,0,33,0,1135,0,1,3,0.0,0,-2,0,2,45,True,0
33,33,33,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,4,0,0,0,0,34,0,1133,0,1,2,0.0,0,-2,0,2,45,False,0
34,34,34,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2023-05-08T19:00:00Z,0,17,0,0,0,0,35,0,1130,0,3,4,0.0,0,-3,0,3,45,True,0
35,35,35,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,6,0,0,0,0,36,0,1129,0,2,2,0.0,0,-1,0,1,45,False,0
36,36,36,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2023-05-20T16:30:00Z,0,1,0,0,0,0,37,0,1128,0,0,1,0.0,0,-1,0,1,45,True,0
37,37,37,0,0,0,0,0.0,392,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,7,0,0,0,0,38,0,1127,0,1,1,0.0,0,-1,0,1,45,False,0
38,38,38,0,0,0,0,0.0,452,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,857,0,1,2,0.0,0,0,0,0,45,False,0
39,39,39,0,0,0,0,0.0,452,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,614,0,1,2,0.0,0,-230,0,230,45,True,0
