,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,16,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,0,0,45,True,0
1,1,1,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,101,0,0.0,4.0,0.0,0,56,75,19,45,False,0
2,2,2,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,18,0,0,0,0,10,0,184,0,2.0,1.0,0.0,0,53,78,25,45,True,0
3,3,3,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,6,0,0,0,0,11,0,279,0,2.0,0.0,0.0,0,80,123,43,45,False,0
4,4,4,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,311,0,3.0,2.0,0.0,0,14,69,55,45,True,0
5,5,5,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,12,0,0,0,0,13,0,370,0,1.0,2.0,0.0,0,29,69,40,45,False,0
6,6,6,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,19,0,0,0,0,14,0,397,0,1.0,1.0,0.0,0,10,46,36,45,False,0
7,7,7,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,3,0,0,0,0,15,0,420,0,2.0,0.0,0.0,0,10,43,33,45,True,0
8,8,8,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,11,0,0,0,0,16,0,441,0,2.0,1.0,0.0,0,10,46,36,45,True,0
9,9,9,0,0,0,0,0.0,724,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,432,0,2.0,2.0,0.0,0,-22,30,52,45,False,0
