,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0,0,0.0,656,214,0,0,0.0,0.0,2021-02-02T18:00:00Z,0,18,0,0,0,0,22,0,0,1,2,0.0,0,0,0,0,45,True,0,,,,,
1,1,1,0,0,0,0,0.0,656,226,0,0,0.0,0.0,2021-02-07T19:15:00Z,0,5,0,0,0,0,23,0,35,2,1,0.0,0,16,19,3,45,True,0,,,,,
2,2,2,0,0,0,0,0.0,656,238,0,0,0.0,0.0,2021-02-15T18:00:00Z,0,19,0,0,0,0,24,0,107,0,3,0.0,0,39,58,19,45,False,0,,,,,
3,3,3,0,0,0,0,0.0,656,243,0,0,0.0,0.0,2021-02-20T20:00:00Z,0,8,0,0,0,0,25,0,185,0,1,0.0,0,62,101,39,45,False,0,,,,,
4,4,4,0,0,0,0,0.0,656,256,0,0,0.0,0.0,2021-02-28T19:15:00Z,0,11,0,0,0,0,26,0,144,2,0,0.0,0,-54,33,87,45,True,0,,,,,
5,5,5,0,0,0,0,0.0,656,285,0,0,0.0,0.0,2021-03-03T18:00:00Z,0,2,0,0,0,0,26,0,144,0,1,0.0,0,-54,33,87,45,True,0,,,,,
6,6,6,0,0,0,0,0.0,656,265,0,0,0.0,0.0,2021-03-06T15:00:00Z,0,16,0,0,0,0,27,0,177,2,0,0.0,0,17,47,30,45,True,0,,,,,
7,7,7,0,0,5,0,0.3,656,274,1,0,0.3,2.2,2021-03-14T14:00:00Z,11,9,0,0,0,0,28,0,183,0,5,0.0,1,-7,28,35,45,False,0,,,,,
8,8,8,0,0,0,0,0.0,656,293,0,0,0.0,0.0,2021-04-03T14:00:00Z,0,10,0,0,0,0,30,0,195,1,2,0.0,0,15,27,12,45,False,0,,,,,
9,9,9,0,0,0,0,0.0,656,305,0,0,0.0,0.0,2021-04-11T18:00:00Z,0,1,0,0,0,0,31,0,186,3,0,0.0,0,-14,7,21,45,True,0,,,,,
10,10,10,0,0,0,0,0.0,656,318,0,0,0.0,0.0,2021-04-17T19:15:00Z,0,20,0,0,0,0,32,0,211,0,1,0.0,0,20,32,12,45,False,0,,,,,
11,11,11,0,0,0,0,0.0,656,326,0,0,0.0,0.0,2021-04-24T19:00:00Z,0,3,0,0,0,0,33,0,208,0,1,0.0,0,-6,14,20,45,True,0,,,,,
12,12,12,0,0,0,0,0.0,656,337,0,0,0.0,0.0,2021-05-02T18:15:00Z,0,17,0,0,0,0,34,0,205,0,4,0.0,0,-11,10,21,45,False,0,,,,,
13,13,13,0,0,0,0,0.0,656,346,0,0,0.0,0.0,2021-05-08T14:00:00Z,0,6,0,0,0,0,35,0,227,2,0,0.0,0,13,29,16,45,True,0,,,,,
14,14,14,0,0,0,0,0.0,656,351,0,0,0.0,0.0,2021-05-16T18:00:00Z,0,7,0,0,0,0,36,0,221,1,0,0.0,0,-16,8,24,45,False,0,,,,,
