iter	Passed	Remaining
0	1	104
1	2	98
2	4	133
3	5	130
4	6	122
5	7	116
6	8	112
7	9	108
8	10	105
9	11	101
10	12	99
11	13	97
12	14	95
13	15	93
14	16	92
15	17	90
16	18	88
17	18	86
18	19	84
19	20	83
20	21	81
21	22	80
22	23	79
23	24	78
24	25	76
25	26	75
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	57
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	58	37
61	60	36
62	61	35
63	61	34
64	63	34
65	64	33
66	65	32
67	65	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
