iter	RMSE
0	11.02564712
1	10.47576973
2	10.01454847
3	9.582262954
4	9.19269253
5	8.822667929
6	8.447278414
7	8.101144604
8	7.769172171
9	7.495690464
10	7.225218233
11	6.866553344
12	6.615179428
13	6.412927201
14	6.161767986
15	5.952981018
16	5.713884504
17	5.576608652
18	5.386854982
19	5.198692377
20	5.048306596
21	4.91321296
22	4.753085375
23	4.606166288
24	4.467358969
25	4.388474669
26	4.271043934
27	4.14816496
28	4.047336413
29	3.932005689
30	3.832074748
31	3.728775571
32	3.619796683
33	3.545505412
34	3.460473493
35	3.340552297
36	3.263438447
37	3.200786024
38	3.165354706
39	3.095495411
40	3.015346803
41	2.938711989
42	2.876725099
43	2.808295415
44	2.758203698
45	2.703931273
46	2.653044942
47	2.607044923
48	2.546546088
49	2.513594908
50	2.448571407
51	2.394429564
52	2.32549304
53	2.277633038
54	2.210812803
55	2.144313649
56	2.11351969
57	2.065021785
58	2.020765204
59	1.963320967
60	1.921366306
61	1.866326428
62	1.824382521
63	1.780943592
64	1.736620957
65	1.688576336
66	1.64569076
67	1.604264051
68	1.570253241
69	1.530100204
70	1.496106443
71	1.458027253
72	1.400931741
73	1.349868313
74	1.314644325
75	1.289017906
76	1.266486655
77	1.24228432
78	1.213253738
79	1.184664802
80	1.156940464
81	1.128214991
82	1.103379941
83	1.079525516
84	1.052718257
85	1.018427454
86	0.9994033424
87	0.9738102308
88	0.9552365055
89	0.9462783219
90	0.9226192819
91	0.9022737343
92	0.8762120884
93	0.8550642898
94	0.8318053284
95	0.8128642604
96	0.8046671307
97	0.779870402
98	0.7614151755
99	0.7439272225
